CodDecolare;CodAterizare;TimpStart;Durata;AzimutInitial;AzimutFinal;Descriere
HEL;KUL;11:06:30;106;N 73 V;S 55 E;Boeing,224,12000
LAX;OTO;11:06:50;42;N 59 V;0;Boeing,137,12000
DOH;ARN;11:07:10;11;N 43 E;S 80 V;Airbus,139,8000
ORD;DFW;11:07:30;129;S 59 V;N 85 E;Comac,51,5000
OTO;MIA;11:07:50;23;0;N 15 V;Airbus,133,10000
DOH;HKG;11:08:10;51;N 57 V;S 77 E;Embraer,50,10000
OTO;CAN;11:08:30;36;0;N 65 V;Boeing,108,9000
IST;OSL;11:08:50;98;S 85 V;N 82 E;Airbus,161,12000
SYD;OTO;11:09:10;60;S 57 E;0;Boeing,142,7000
YYZ;CGK;11:09:30;104;S 35 E;N 35 V;Airbus,121,11000
DEL;FRA;11:09:50;57;N 27 V;S 78 E;Embraer,44,13000
LHR;ZRH;11:10:10;67;N 38 E;S 74 V;Embraer,59,13000
KUL;OTO;11:10:30;13;N 52 E;0;Boeing,133,6000
SYD;BKK;11:10:50;23;S 32 E;N 87 V;Embraer,63,9000
MUC;OTO;11:11:10;71;S 45 E;0;Comac,63,12000
PEK;SYD;11:11:30;92;N 81 E;S 63 V;Boeing,204,7000
GRU;MAD;11:11:50;121;S 67 V;N 65 E;Embraer,69,10000
OTO;SZX;11:12:10;149;0;N 10 E;Comac,71,7000
HND;JFK;11:12:30;147;N 6 E;S 8 V;Embraer,69,7000
OTO;ARN;11:12:50;109;0;S 81 V;Boeing,144,11000
OSL;SZX;11:13:10;41;S 71 V;N 76 E;Comac,74,11000
BKK;LAX;11:13:30;41;N 11 E;S 1 V;Boeing,217,11000
CLT;OTO;11:13:50;10;N 4 E;0;Boeing,102,11000
CLT;FRA;11:14:10;55;N 18 E;S 13 V;Embraer,64,5000
FRA;SZX;11:14:30;144;S 58 E;N 45 V;Boeing,194,9000
MAD;CPH;11:14:50;48;N 5 E;S 48 V;Comac,64,13000
OSL;OTO;11:15:10;93;S 82 E;0;Airbus,134,6000
SIN;MEX;11:15:30;56;N 15 V;S 47 E;Embraer,73,6000
ICN;LAX;11:15:50;49;S 87 V;N 41 E;Airbus,163,11000
SIN;OTO;11:16:10;137;N 31 E;0;Comac,77,6000
MEX;MIA;11:16:30;56;S 1 E;N 78 V;Embraer,45,14000
OTO;CGK;11:16:50;15;0;S 36 V;Embraer,66,13000
FRA;ATL;11:17:10;120;N 88 E;S 50 V;Embraer,72,10000
AMS;CAN;11:17:30;25;S 45 V;N 8 E;Comac,67,6000
OTO;SZX;11:17:50;111;0;S 74 V;Boeing,122,6000
MEX;OTO;11:18:10;84;S 65 V;0;Embraer,70,10000
CDG;SZX;11:18:30;2;N 61 E;S 85 V;Comac,76,12000
PVG;OTO;11:18:50;65;N 46 E;0;Boeing,234,11000
OTO;PVG;11:19:10;101;0;N 57 E;Airbus,145,14000
AMS;CAN;11:19:30;95;N 59 V;S 10 E;Comac,54,11000
OTO;HND;11:19:50;103;0;S 34 V;Comac,54,5000
CGK;ATL;11:20:10;74;S 17 E;N 27 V;Embraer,46,10000
ICN;ATL;11:20:30;141;S 79 V;N 22 E;Airbus,118,7000
HND;AMS;11:20:50;90;S 29 E;N 43 V;Boeing,230,12000
AUH;ORD;11:21:10;66;S 13 E;N 20 V;Airbus,112,13000
HEL;OTO;11:21:30;116;S 55 E;0;Airbus,106,13000
SIN;ZRH;11:21:50;47;N 81 E;S 90 V;Airbus,107,6000
PVG;OTO;11:22:10;76;N 68 E;0;Airbus,164,7000
AUH;BKK;11:22:30;15;N 41 V;S 61 E;Comac,79,14000
CPH;IST;11:22:50;21;N 49 V;S 28 E;Comac,45,8000
OTO;MAD;11:23:10;91;0;S 40 E;Comac,70,8000
ATL;FRA;11:23:30;105;S 2 E;N 55 V;Boeing,236,6000
MUC;BKK;11:23:50;31;N 45 V;S 22 E;Embraer,53,7000
DEN;CAN;11:24:10;98;S 86 V;N 48 E;Embraer,49,10000
PEK;OTO;11:24:30;16;S 59 V;0;Airbus,154,5000
OTO;GRU;11:24:50;100;0;N 14 V;Airbus,140,13000
MEX;LAX;11:25:10;5;N 71 E;S 90 V;Boeing,234,10000
CPH;SZX;11:25:30;95;N 71 V;S 9 E;Airbus,138,10000
HND;OTO;11:25:50;139;N 42 E;0;Comac,77,10000
CPH;DXB;11:26:10;116;S 31 E;N 29 V;Embraer,41,9000
MUC;DXB;11:26:30;111;N 71 V;S 10 E;Boeing,130,9000
JFK;OTO;11:26:50;68;N 13 V;0;Embraer,59,10000
AMS;FRA;11:27:10;54;N 12 E;S 37 V;Boeing,174,10000
OTO;OSL;11:27:30;97;0;S 34 E;Boeing,171,7000
HND;OTO;11:27:50;55;N 54 E;0;Comac,57,13000
LAX;SYD;11:28:10;7;N 83 E;S 69 V;Comac,71,7000
DOH;IST;11:28:30;127;S 70 E;N 4 V;Comac,68,14000
OTO;IST;11:28:50;60;0;N 26 V;Airbus,126,10000
JFK;BKK;11:29:10;69;S 83 E;N 53 V;Boeing,158,7000
OTO;SIN;11:29:30;34;0;S 13 E;Airbus,175,6000
HEL;DEN;11:29:50;141;S 4 V;N 72 E;Airbus,144,11000
OTO;CDG;11:30:10;110;0;S 61 V;Embraer,48,14000
JFK;ICN;11:30:30;141;N 20 V;S 48 E;Embraer,50,7000
DXB;OTO;11:30:50;16;N 38 E;0;Comac,62,12000
YYZ;FRA;11:31:10;91;S 2 E;N 18 V;Airbus,105,10000
CPH;OTO;11:31:30;114;S 51 E;0;Embraer,56,5000
ORD;MAD;11:31:50;89;N 30 V;S 84 E;Boeing,190,13000
OTO;HND;11:32:10;110;0;N 25 V;Boeing,148,7000
GRU;ARN;11:32:30;103;S 52 E;N 41 V;Airbus,114,7000
DXB;HEL;11:32:50;84;N 12 V;S 53 E;Airbus,116,7000
OTO;ATL;11:33:10;142;0;S 47 V;Boeing,225,12000
HND;SIN;11:33:30;83;S 70 V;N 35 E;Boeing,186,10000
OTO;CLT;11:33:50;54;0;N 32 E;Airbus,106,12000
DEN;SIN;11:34:10;150;N 52 E;S 41 V;Boeing,123,9000
OSL;OTO;11:34:30;3;N 64 V;0;Airbus,105,14000
OTO;OSL;11:34:50;145;0;S 13 V;Boeing,225,13000
HEL;DFW;11:35:10;81;N 26 E;S 36 V;Embraer,74,5000
KUL;OTO;11:35:30;68;S 40 V;0;Embraer,58,8000
DXB;ATL;11:35:50;66;S 33 V;N 74 E;Boeing,148,12000
ATL;OTO;11:36:10;37;N 52 V;0;Embraer,43,14000
ARN;OTO;11:36:30;87;N 81 E;0;Boeing,210,5000
DFW;JFK;11:36:50;109;N 80 V;S 1 E;Boeing,136,12000
DXB;PVG;11:37:10;56;N 21 E;S 24 V;Airbus,173,10000
AUH;JFK;11:37:30;75;S 18 E;N 46 V;Comac,72,11000
OTO;CAN;11:37:50;110;0;S 71 V;Airbus,164,14000
DOH;OTO;11:38:10;10;S 75 V;0;Embraer,45,6000
KUL;YYZ;11:38:30;16;N 33 E;S 17 V;Airbus,116,6000
OTO;ZRH;11:38:50;118;0;N 16 E;Airbus,103,14000
LAX;ZRH;11:39:10;21;S 29 E;N 7 V;Airbus,146,6000
HKG;BKK;11:39:30;107;N 51 E;S 84 V;Airbus,150,5000
ZRH;OTO;11:39:50;91;S 53 E;0;Embraer,52,5000
DXB;DEN;11:40:10;12;N 64 E;S 10 V;Embraer,52,7000
MIA;FRA;11:40:30;114;N 87 V;S 51 E;Embraer,60,11000
OTO;MEX;11:40:50;63;0;N 56 E;Comac,57,12000
PVG;ICN;11:41:10;5;N 3 E;S 47 V;Embraer,70,5000
SZX;OTO;11:41:30;109;N 68 E;0;Boeing,173,8000
DWC;ZRH;11:41:50;76;N 14 V;S 30 E;Boeing,143,8000
OTO;CLT;11:42:10;16;0;S 75 E;Comac,46,11000
DXB;MAD;11:42:30;10;N 63 E;S 65 V;Comac,54,11000
GRU;YYZ;11:42:50;21;N 85 E;S 51 V;Boeing,237,11000
DEN;OTO;11:43:10;42;S 85 V;0;Embraer,59,9000
SIN;SZX;11:43:30;142;N 51 V;S 25 E;Boeing,155,11000
DOH;HEL;11:43:50;91;N 73 V;S 83 E;Comac,71,13000
AUH;OTO;11:44:10;107;N 12 V;0;Airbus,133,12000
GRU;CLT;11:44:30;150;N 4 E;S 1 V;Comac,66,10000
ZRH;GRU;11:44:50;11;N 14 V;S 59 E;Comac,66,9000
AMS;OTO;11:45:10;148;N 31 E;0;Comac,73,12000
OTO;DEL;11:45:30;17;0;S 39 V;Comac,75,6000
CAN;DEN;11:45:50;64;N 81 V;S 22 E;Airbus,119,8000
DXB;OTO;11:46:10;66;S 82 E;0;Embraer,63,9000
CPH;YYZ;11:46:30;51;S 18 V;N 35 E;Embraer,72,6000
HKG;BKK;11:46:50;119;N 23 E;S 32 V;Embraer,50,13000
OTO;CGK;11:47:10;70;0;N 52 V;Boeing,142,11000
CPH;ORD;11:47:30;29;N 60 V;S 46 E;Boeing,195,12000
CLT;OTO;11:47:50;37;S 80 V;0;Boeing,120,5000
PVG;HEL;11:48:10;33;S 5 E;N 27 V;Boeing,180,9000
CPH;SZX;11:48:30;70;S 18 V;N 87 E;Boeing,181,6000
HND;OTO;11:48:50;140;S 90 V;0;Boeing,109,6000
CLT;MIA;11:49:10;60;S 31 V;N 30 E;Boeing,223,5000
ARN;OTO;11:49:30;97;S 41 E;0;Embraer,70,7000
DWC;SYD;11:49:50;130;S 83 V;N 56 E;Boeing,184,10000
OTO;CAN;11:50:10;85;0;S 83 V;Embraer,50,5000
ARN;OSL;11:50:30;125;S 42 E;N 43 V;Boeing,201,14000
OTO;BKK;11:50:50;118;0;S 85 V;Airbus,114,13000
MEX;CLT;11:51:10;10;S 10 V;N 8 E;Embraer,68,5000
DWC;OTO;11:51:30;45;S 42 E;0;Boeing,213,14000
JFK;DEN;11:51:50;122;N 40 E;S 56 V;Comac,52,13000
CAN;OTO;11:52:10;30;S 2 V;0;Boeing,194,6000
MIA;MAD;11:52:30;63;S 46 V;N 25 E;Boeing,238,13000
PVG;LHR;11:52:50;52;S 69 V;N 63 E;Airbus,156,13000
OTO;DFW;11:53:10;31;0;S 70 E;Embraer,65,10000
CGK;ORD;11:53:30;46;N 20 E;S 6 V;Boeing,204,12000
OTO;AMS;11:53:50;112;0;N 1 E;Airbus,119,11000
MEX;DFW;11:54:10;99;N 53 V;S 14 E;Embraer,47,14000
GRU;KUL;11:54:30;82;N 73 E;S 61 V;Embraer,78,10000
MIA;OTO;11:54:50;33;N 28 V;0;Airbus,131,8000
OSL;PEK;11:55:10;85;N 16 V;S 17 E;Embraer,41,9000
FRA;ATL;11:55:30;147;N 62 V;S 61 E;Airbus,143,9000
OTO;AMS;11:55:50;40;0;N 21 V;Airbus,177,7000
HND;ZRH;11:56:10;77;N 6 E;S 80 V;Comac,72,5000
MUC;GRU;11:56:30;70;S 80 V;N 20 E;Airbus,103,11000
KUL;OTO;11:56:50;52;S 64 E;0;Boeing,205,6000
CDG;LAX;11:57:10;76;N 23 V;S 76 E;Airbus,111,11000
OTO;ATL;11:57:30;61;0;S 68 V;Boeing,144,9000
YYZ;LAX;11:57:50;20;S 21 V;N 23 E;Comac,51,13000
HKG;OTO;11:58:10;111;N 67 V;0;Boeing,168,9000
GRU;HND;11:58:30;132;S 76 E;N 46 V;Embraer,46,13000
OTO;CPH;11:58:50;96;0;S 88 E;Airbus,141,8000
DEL;MAD;11:59:10;130;S 79 E;N 32 V;Comac,68,10000
CPH;LHR;11:59:30;148;N 40 V;S 83 E;Embraer,61,5000
KUL;OTO;11:59:50;98;S 26 V;0;Boeing,126,7000
AMS;SYD;12:00:10;90;N 23 V;S 23 E;Boeing,129,9000
JFK;PEK;12:00:30;140;N 32 E;S 33 V;Comac,41,10000
PEK;OTO;12:00:50;67;N 52 E;0;Boeing,154,6000
DWC;MIA;12:01:10;10;S 88 E;N 7 V;Boeing,156,7000
OTO;MAD;12:01:30;80;0;N 75 V;Comac,47,9000
OSL;FRA;12:01:50;116;S 90 V;N 89 E;Airbus,123,5000
HKG;CDG;12:02:10;2;N 59 E;S 78 V;Airbus,144,12000
FRA;OTO;12:02:30;119;S 34 V;0;Airbus,122,13000
CDG;HEL;12:02:50;58;N 50 E;S 65 V;Embraer,74,13000
MIA;HKG;12:03:10;149;N 57 E;S 66 V;Embraer,46,14000
OTO;HKG;12:03:30;22;0;S 83 V;Comac,41,11000
MIA;DFW;12:03:50;105;N 69 E;S 70 V;Airbus,146,6000
SYD;OTO;12:04:10;32;S 15 V;0;Boeing,125,5000
ATL;HND;12:04:30;87;N 14 V;S 67 E;Boeing,216,9000
ZRH;HND;12:04:50;50;S 38 V;N 35 E;Boeing,244,9000
DEN;OTO;12:05:10;5;N 89 V;0;Comac,76,5000
AMS;OTO;12:05:30;128;N 33 V;0;Boeing,118,9000
MUC;DXB;12:05:50;142;S 8 V;N 45 E;Airbus,163,5000
DWC;OTO;12:06:10;113;N 14 V;0;Embraer,61,12000
DFW;YYZ;12:06:30;77;S 7 V;N 29 E;Embraer,41,7000
DEL;SZX;12:06:50;78;N 19 V;S 19 E;Boeing,181,10000
ZRH;GRU;12:07:10;43;S 36 E;N 28 V;Comac,52,12000
ICN;OTO;12:07:30;87;S 78 E;0;Airbus,178,9000
MAD;DEL;12:07:50;32;S 34 V;N 35 E;Boeing,218,10000
CGK;AUH;12:08:10;8;S 66 V;N 53 E;Comac,72,6000
OTO;DFW;12:08:30;51;0;N 65 V;Boeing,145,6000
CLT;OTO;12:08:50;127;N 62 V;0;Airbus,122,13000
HKG;ORD;12:09:10;85;S 40 E;N 86 V;Comac,67,7000
ICN;LHR;12:09:30;135;N 67 V;S 41 E;Boeing,235,10000
SYD;OTO;12:09:50;79;S 59 V;0;Embraer,78,5000
CDG;DEN;12:10:10;36;N 61 V;S 70 E;Embraer,51,8000
LHR;OSL;12:10:30;11;S 13 E;N 66 V;Airbus,145,11000
OTO;ZRH;12:10:50;72;0;N 32 V;Comac,74,13000
LAX;LHR;12:11:10;129;N 77 V;S 65 E;Comac,78,6000
MUC;DEN;12:11:30;65;N 5 E;S 72 V;Embraer,55,6000
ZRH;OTO;12:11:50;122;S 86 V;0;Embraer,72,8000
YYZ;CPH;12:12:10;78;S 76 E;N 63 V;Comac,79,12000
CDG;HKG;12:12:30;71;N 51 E;S 12 V;Airbus,111,8000
SYD;OTO;12:12:50;16;N 85 E;0;Comac,57,8000
HKG;ATL;12:13:10;58;S 56 V;N 38 E;Embraer,75,5000
CPH;CDG;12:13:30;139;S 65 V;N 43 E;Comac,70,8000
AUH;MAD;12:13:50;109;N 51 E;S 39 V;Embraer,71,9000
BKK;LAX;12:14:10;149;N 10 E;S 11 V;Boeing,229,8000
DOH;OTO;12:14:30;147;N 63 V;0;Airbus,108,11000
SIN;CLT;12:14:50;106;S 4 V;N 1 E;Comac,79,7000
AUH;AMS;12:15:10;69;S 86 E;N 57 V;Boeing,126,9000
BKK;FRA;12:15:30;57;S 83 V;N 28 E;Airbus,110,10000
LHR;SYD;12:15:50;99;N 37 E;S 29 V;Comac,47,5000
BKK;ZRH;12:16:10;126;S 45 E;N 8 V;Comac,75,9000
DWC;AMS;12:16:30;42;N 28 E;S 26 V;Boeing,244,6000
DWC;OTO;12:16:50;47;S 38 V;0;Airbus,104,11000
CAN;ARN;12:17:10;79;N 15 V;S 9 E;Embraer,79,6000
KUL;OTO;12:17:30;43;S 90 E;0;Comac,67,5000
AMS;MIA;12:17:50;45;S 88 V;N 1 E;Airbus,156,11000
BKK;OTO;12:18:10;56;N 44 V;0;Embraer,57,5000
PEK;AMS;12:18:30;117;S 79 V;N 72 E;Embraer,73,11000
SZX;DEN;12:18:50;71;N 22 E;S 43 V;Airbus,123,6000
OTO;LAX;12:19:10;31;0;S 67 E;Boeing,233,7000
DFW;LAX;12:19:30;99;S 34 V;N 60 E;Airbus,162,11000
JFK;HND;12:19:50;71;N 72 E;S 83 V;Boeing,162,14000
IST;CGK;12:20:10;135;N 44 E;S 85 V;Embraer,46,9000
OTO;ICN;12:20:30;67;0;N 53 E;Airbus,109,10000
HND;CAN;12:20:50;70;N 76 E;S 83 V;Comac,51,12000
BKK;OTO;12:21:10;146;S 78 E;0;Airbus,115,7000
SYD;SIN;12:21:30;58;S 21 E;N 30 V;Embraer,58,9000
LHR;AUH;12:21:50;62;N 55 V;S 29 E;Boeing,123,11000
SZX;ATL;12:22:10;78;S 48 V;N 49 E;Embraer,66,14000
DEN;OTO;12:22:30;77;N 71 V;0;Boeing,247,5000
SZX;DXB;12:22:50;38;S 83 E;N 18 V;Airbus,133,7000
DFW;CLT;12:23:10;67;S 85 E;N 28 V;Boeing,165,10000
OTO;DOH;12:23:30;72;0;S 84 V;Embraer,63,7000
DWC;GRU;12:23:50;11;N 26 E;S 39 V;Comac,40,9000
CAN;ARN;12:24:10;4;N 51 V;S 87 E;Boeing,221,6000
OTO;JFK;12:24:30;16;0;S 67 V;Comac,71,12000
PVG;CDG;12:24:50;18;S 29 V;N 44 E;Boeing,136,9000
DWC;OTO;12:25:10;56;N 58 V;0;Embraer,66,14000
OTO;CGK;12:25:30;39;0;S 15 E;Comac,53,8000
CGK;ATL;12:25:50;147;S 65 V;N 16 E;Boeing,178,7000
DEN;SIN;12:26:10;36;N 42 V;S 78 E;Airbus,143,13000
SYD;CAN;12:26:30;98;S 88 E;N 32 V;Embraer,41,10000
YYZ;CAN;12:26:50;65;N 61 V;S 72 E;Embraer,42,9000
OTO;ATL;12:27:10;76;0;N 5 E;Boeing,241,7000
SIN;AMS;12:27:30;132;S 28 E;N 13 V;Airbus,172,13000
GRU;PEK;12:27:50;133;N 6 V;S 30 E;Comac,41,9000
SYD;OTO;12:28:10;72;S 29 E;0;Embraer,53,5000
MIA;CDG;12:28:30;47;S 74 E;N 72 V;Comac,73,9000
AMS;ORD;12:28:50;54;S 31 E;N 64 V;Embraer,60,7000
CPH;LAX;12:29:10;132;N 38 V;S 13 E;Embraer,57,7000
MAD;OTO;12:29:30;84;N 52 E;0;Comac,57,7000
AMS;ZRH;12:29:50;111;S 65 V;N 62 E;Embraer,58,7000
ORD;HEL;12:30:10;77;S 64 V;N 32 E;Airbus,117,9000
MEX;OTO;12:30:30;74;N 62 E;0;Boeing,148,14000
MUC;FRA;12:30:50;126;S 52 V;N 30 E;Airbus,112,14000
GRU;HKG;12:31:10;76;N 81 V;S 21 E;Comac,63,7000
OTO;FRA;12:31:30;139;0;S 34 V;Boeing,247,7000
AUH;GRU;12:31:50;150;N 7 E;S 68 V;Comac,77,13000
KUL;OTO;12:32:10;98;S 2 E;0;Airbus,121,12000
MUC;HEL;12:32:30;54;N 26 V;S 87 E;Airbus,134,5000
CGK;DEN;12:32:50;9;N 25 E;S 38 V;Airbus,142,5000
OTO;CAN;12:33:10;25;0;N 86 E;Comac,77,11000
CGK;PVG;12:33:30;93;S 55 E;N 72 V;Embraer,69,7000
MIA;CGK;12:33:50;74;N 67 V;S 42 E;Boeing,143,11000
LHR;OTO;12:34:10;10;S 39 V;0;Embraer,67,13000
BKK;HEL;12:34:30;40;S 80 V;N 50 E;Embraer,57,12000
PVG;FRA;12:34:50;90;N 26 V;S 88 E;Airbus,117,13000
AUH;OTO;12:35:10;17;N 23 V;0;Embraer,59,14000
OTO;SIN;12:35:30;52;0;S 11 E;Boeing,187,6000
OTO;IST;12:35:50;58;0;N 44 E;Embraer,65,14000
DOH;SYD;12:36:10;86;N 53 E;S 73 V;Airbus,111,12000
FRA;MAD;12:36:30;42;S 60 V;N 7 E;Embraer,46,7000
ATL;AUH;12:36:50;127;S 8 E;N 13 V;Embraer,51,5000
OTO;CGK;12:37:10;7;0;S 84 V;Comac,52,12000
ICN;KUL;12:37:30;88;S 73 E;N 68 V;Boeing,172,13000
FRA;CAN;12:37:50;9;S 65 V;N 38 E;Comac,72,8000
FRA;OTO;12:38:10;66;S 21 E;0;Boeing,103,5000
DEL;AUH;12:38:30;17;N 55 E;S 85 V;Embraer,76,6000
IST;OTO;12:38:50;121;N 90 V;0;Comac,47,10000
GRU;DEL;12:39:10;99;S 24 E;N 72 V;Embraer,43,9000
OTO;BKK;12:39:30;58;0;N 54 E;Boeing,212,8000
OTO;KUL;12:39:50;89;0;N 72 V;Embraer,40,6000
CDG;DXB;12:40:10;109;N 22 V;S 66 E;Embraer,69,10000
YYZ;OTO;12:40:30;110;S 36 V;0;Embraer,74,8000
CGK;KUL;12:40:50;33;N 71 V;S 51 E;Embraer,52,5000
OTO;LHR;12:41:10;37;0;S 57 V;Boeing,177,13000
IST;GRU;12:41:30;150;N 89 V;S 55 E;Boeing,165,7000
SIN;OTO;12:41:50;124;N 47 V;0;Boeing,218,11000
AMS;DXB;12:42:10;120;N 4 V;S 7 E;Boeing,209,5000
ICN;OTO;12:42:30;36;N 23 E;0;Airbus,113,7000
DOH;GRU;12:42:50;30;N 80 E;S 41 V;Embraer,73,7000
LHR;OTO;12:43:10;70;N 20 E;0;Boeing,115,5000
GRU;ORD;12:43:30;46;N 88 V;S 25 E;Embraer,64,14000
OTO;FRA;12:43:50;60;0;N 52 V;Airbus,151,8000
CDG;MUC;12:44:10;125;S 86 E;N 28 V;Comac,66,8000
PEK;OTO;12:44:30;119;S 86 V;0;Boeing,187,11000
HEL;DEN;12:44:50;82;S 45 V;N 74 E;Embraer,60,6000
CDG;MIA;12:45:10;127;N 39 E;S 27 V;Airbus,121,13000
ICN;GRU;12:45:30;16;N 42 V;S 81 E;Embraer,51,13000
MAD;ATL;12:45:50;63;N 4 E;S 53 V;Airbus,125,11000
DOH;YYZ;12:46:10;86;S 1 V;N 55 E;Boeing,150,14000
AMS;OTO;12:46:30;75;N 86 V;0;Embraer,79,13000
MEX;ATL;12:46:50;143;S 81 V;N 27 E;Comac,54,11000
AUH;OTO;12:47:10;18;S 27 V;0;Comac,55,6000
YYZ;OTO;12:47:30;68;S 25 E;0;Boeing,139,5000
KUL;AMS;12:47:50;48;N 43 V;S 88 E;Airbus,177,14000
ARN;MAD;12:48:10;74;N 86 E;S 83 V;Embraer,58,8000
OSL;OTO;12:48:30;51;S 19 V;0;Boeing,114,11000
PVG;CLT;12:48:50;128;S 21 E;N 27 V;Comac,60,8000
CGK;HKG;12:49:10;44;N 2 E;S 1 V;Boeing,244,8000
SYD;KUL;12:49:30;57;S 85 V;N 71 E;Airbus,144,6000
KUL;OTO;12:49:50;10;S 6 E;0;Airbus,172,6000
IST;KUL;12:50:10;136;S 14 V;N 14 E;Boeing,146,7000
MUC;DXB;12:50:30;11;S 27 E;N 5 V;Airbus,128,11000
OTO;DWC;12:50:50;13;0;N 89 V;Boeing,210,6000
CLT;DFW;12:51:10;113;S 27 V;N 76 E;Airbus,147,6000
CPH;DFW;12:51:30;55;S 42 V;N 59 E;Embraer,46,8000
CPH;DEN;12:51:50;110;S 69 E;N 70 V;Airbus,164,5000
ICN;OTO;12:52:10;70;S 67 V;0;Comac,56,12000
CPH;DOH;12:52:30;131;N 30 E;S 33 V;Airbus,140,14000
OTO;CAN;12:52:50;117;0;S 60 E;Boeing,195,13000
OSL;ICN;12:53:10;13;S 8 E;N 38 V;Airbus,179,14000
KUL;SIN;12:53:30;30;S 45 E;N 75 V;Embraer,77,14000
PEK;OTO;12:53:50;112;S 75 V;0;Airbus,136,5000
OSL;SIN;12:54:10;27;S 22 V;N 54 E;Comac,72,9000
OTO;CDG;12:54:30;134;0;S 81 V;Embraer,69,9000
LAX;LHR;12:54:50;19;S 13 V;N 67 E;Comac,58,9000
MIA;LAX;12:55:10;18;S 17 V;N 10 E;Embraer,49,14000
DXB;OTO;12:55:30;19;S 60 V;0;Boeing,243,10000
ZRH;ORD;12:55:50;146;N 17 E;S 75 V;Airbus,143,9000
HEL;IST;12:56:10;108;N 86 E;S 13 V;Airbus,169,13000
OTO;ORD;12:56:30;134;0;N 46 V;Boeing,173,7000
MUC;MEX;12:56:50;41;S 43 E;N 57 V;Boeing,244,10000
OTO;LAX;12:57:10;80;0;N 72 E;Comac,56,11000
CAN;JFK;12:57:30;15;S 69 V;N 41 E;Embraer,68,9000
AMS;MAD;12:57:50;96;S 47 V;N 63 E;Airbus,108,12000
BKK;OTO;12:58:10;77;N 63 E;0;Airbus,158,10000
ARN;ICN;12:58:30;46;N 65 E;S 46 V;Embraer,71,6000
OTO;ATL;12:58:50;136;0;N 72 V;Comac,52,13000
ICN;AUH;12:59:10;20;S 85 V;N 39 E;Airbus,139,11000
PEK;JFK;12:59:30;79;N 65 E;S 3 V;Boeing,194,10000
JFK;OTO;12:59:50;45;S 58 E;0;Embraer,59,14000
DXB;HEL;13:00:10;129;S 14 E;N 50 V;Airbus,133,6000
OTO;SIN;13:00:30;136;0;S 74 V;Airbus,162,12000
DEN;ICN;13:00:50;65;N 90 E;S 66 V;Boeing,127,8000
OTO;SYD;13:01:10;93;0;N 46 V;Airbus,115,8000
DXB;HKG;13:01:30;4;S 90 E;N 17 V;Boeing,138,9000
HEL;OTO;13:01:50;8;N 62 E;0;Airbus,152,12000
IST;FRA;13:02:10;78;S 59 V;N 30 E;Airbus,174,9000
DEL;OTO;13:02:30;22;S 17 V;0;Embraer,62,9000
KUL;IST;13:02:50;37;N 19 E;S 5 V;Airbus,133,6000
IST;DWC;13:03:10;119;N 40 E;S 80 V;Comac,68,10000
DXB;OTO;13:03:30;140;N 87 V;0;Boeing,158,5000
BKK;OSL;13:03:50;91;S 11 V;N 4 E;Airbus,151,5000
MIA;OTO;13:04:10;39;S 3 E;0;Comac,73,6000
OTO;GRU;13:04:30;31;0;S 31 V;Comac,78,10000
ATL;FRA;13:04:50;105;S 41 V;N 82 E;Comac,70,13000
ARN;HEL;13:05:10;145;S 41 E;N 75 V;Embraer,59,8000
HEL;HND;13:05:30;27;N 58 V;S 52 E;Airbus,110,11000
DFW;LHR;13:05:50;78;S 51 E;N 30 V;Embraer,52,14000
ZRH;OTO;13:06:10;40;N 85 E;0;Embraer,53,5000
SYD;MIA;13:06:30;9;S 39 E;N 49 V;Boeing,148,8000
LHR;JFK;13:06:50;41;S 69 E;N 47 V;Airbus,147,8000
YYZ;HEL;13:07:10;72;N 60 E;S 65 V;Embraer,43,13000
SYD;OTO;13:07:30;37;N 19 V;0;Airbus,157,7000
CDG;HEL;13:07:50;115;S 61 E;N 26 V;Airbus,145,11000
LAX;DXB;13:08:10;28;S 49 V;N 68 E;Boeing,227,9000
OTO;DEL;13:08:30;49;0;N 46 E;Boeing,139,14000
HEL;KUL;13:08:50;56;N 39 V;S 1 E;Airbus,146,12000
DOH;OTO;13:09:10;70;S 72 V;0;Boeing,118,10000
OSL;ZRH;13:09:30;48;S 55 E;N 36 V;Boeing,201,6000
LAX;MUC;13:09:50;95;N 88 E;S 57 V;Boeing,227,9000
AUH;OTO;13:10:10;47;N 32 E;0;Airbus,153,13000
YYZ;SIN;13:10:30;28;N 13 E;S 67 V;Embraer,76,10000
CPH;PEK;13:10:50;49;S 22 E;N 75 V;Boeing,247,6000
HEL;CDG;13:11:10;95;S 88 E;N 44 V;Embraer,63,12000
DWC;OTO;13:11:30;114;S 43 E;0;Embraer,65,6000
SIN;MUC;13:11:50;141;N 74 E;S 44 V;Embraer,66,13000
LHR;GRU;13:12:10;143;S 88 E;N 70 V;Comac,55,13000
OTO;LAX;13:12:30;63;0;N 48 E;Boeing,184,14000
BKK;CAN;13:12:50;116;S 56 V;N 28 E;Embraer,65,11000
PEK;HND;13:13:10;58;S 78 E;N 11 V;Airbus,119,6000
OTO;ZRH;13:13:30;73;0;N 48 E;Airbus,169,6000
MUC;ORD;13:13:50;135;N 68 E;S 35 V;Airbus,176,6000
OTO;IST;13:14:10;144;0;S 32 E;Embraer,45,8000
YYZ;OTO;13:14:30;109;S 49 E;0;Boeing,114,14000
